	5dhg_	4djh_	4n6h_	4dkl_	6c1r_	3odu_	5t1a_	4mbs_	5lwe_	5vbl_	4zud_	5ung_	3vw7_	5ndd_	4xnw_	4pxz_	4zjc_	4s0v_	5zbq_	5x93_	4xes_	1u19_	5uen_	4eiy_	5x33_	4phu_	5xsz_	5tgz_	3v2y_	4z35_	4ib4_	5wiv_	6cm4_	3pbl_	4bvn_	2rh1_	3rze_	4iar_	3uon_	5dsg_	5cxv_	4u15_	5zkq_
P2Y14	25.29	24.81	22.81	24.9	23.37	23.77	25.76	25.84	22.85	25.75	23.88	23.4	21.35	24.54	25.82	49.65	20.68	21.35	18.11	19.2	20.74	16.67	19.07	20.85	17.69	18.65	26.67	16.28	16.73	15.07	21.01	19.61	20.24	19.46	18.9	16.54	20.72	19.46	20.33	20.73	21.14	20.73	25
P2Y4	31.82	31.2	34.34	34.09	25	26.59	22.85	21.77	27.14	27.74	26.64	24.72	30.37	30.63	43.62	24.19	23.88	23.05	21.93	23.38	25.64	17.04	19.01	17.18	23.19	22.87	32.38	16.41	18.7	17.43	21.76	22.52	21.32	22.81	19.38	18.99	18.29	19.62	20.63	19.84	21.43	18.33	26.88
P2Y2	29.28	28.68	29.17	30.8	25.76	25.09	20.6	20.66	26.77	27.11	22.71	29.63	32.71	31.11	40.07	24.28	25.09	22.39	23.88	23.47	23.9	18.47	18.32	16.86	25.48	23.35	32.86	15.33	17.62	17.51	22.61	26.05	23.74	25.19	16.73	14.79	19.14	17.76	21.51	22.31	21.12	18	27.34
P2Y6	27.27	27.07	29.81	28.41	25.28	27.99	25.37	22.79	26.3	26.64	29.09	25.74	27.68	28.41	36.97	23.83	24.54	25.19	24.54	22.66	22.71	17.94	20.61	17.94	26.89	26.36	29.54	15.27	16.79	15.6	19.77	25.57	23.17	26.89	20.54	21.71	21.01	21.84	21.43	21.03	23.41	21.51	25.45
P2Y1	26.62	28.3	27.65	28.52	25	26.12	25.47	25.83	27.68	25.83	26.1	30.11	29.37	32.46	100	24	25	26.39	24.34	25.36	25.74	19.37	19.23	19.23	25.66	17.9	30.47	15.83	19.31	18.35	22.22	20	22.27	21.07	19.92	20.31	19.22	21.24	21.6	22	21.2	22.09	28.16
P2Y11	20.61	18.11	18.56	19.39	23.48	21.72	23.22	22.96	21.85	25.19	22.14	23.13	22.26	26.55	32.74	19.41	18.28	18.96	20.82	19.34	19.56	17.73	18.18	17.42	25.28	21.56	21.22	17.05	15.89	11.98	17.31	17.83	18.11	18.92	18.99	17.05	20	17.76	19.84	20.24	19.05	18.73	19.49
PAR2	26.72	28.63	24.91	24.71	23.64	24.9	25.29	23.37	26.24	26.04	26.42	27.1	41.05	100	32.46	26.39	26.52	25.28	20	22.88	22.1	20.36	17.54	17.34	20.54	22.18	29.09	17.94	18.39	17.51	19.85	20	20.46	20.15	18.94	19.32	21.32	21.29	20.16	20.55	21.74	21.83	27.74
PAR1	26.82	25.29	25.86	25.19	27.52	25.1	21.57	22.01	25.57	23.48	26.89	26.44	100	41.05	29.37	22.1	23.11	21.89	21.13	18.66	19.92	20.91	17.6	19.33	24.42	23.6	33.7	18.01	16.92	20	20.99	21.54	23.26	23.19	21.76	23.28	21.71	18.25	22.62	21.03	19.44	22.31	26.84
PAR4	28.29	25.19	26.05	25.48	29.34	23.83	28.12	28.08	30.04	29.62	26.05	25.58	34.64	36.65	26.22	22.52	23.64	23.17	21.54	20.45	25.38	21.86	19.08	21.51	29.07	26.52	28.25	18.75	18.82	20.66	21.01	28.24	23.23	23.64	21.62	17.76	18.58	18.22	22.89	24.5	24.9	23.79	23.22
PAR3	27.64	28.86	27.82	27.94	25.2	28.69	25.71	25	28.11	30.89	30.77	27.05	36.09	38.58	33.73	29.37	22.27	23.39	24.9	21.12	23.29	20.79	22.67	21.2	25	21.96	33.73	20.58	18.6	20	21.63	20.66	23.24	22.45	22.76	23.98	21.67	23.58	22.03	20.76	20.76	22.46	28.06
RXFP4	32.83	29.43	32.85	29.81	28.14	24.19	25	25.99	28.47	30.4	27.9	31.5	23.05	25.48	27.72	21.76	22.01	20.77	24.15	23.57	23.97	21.1	18.99	21.01	27.24	21.46	22.1	20.31	18.43	16.97	23.92	27.06	22.4	24.41	23.64	23.26	20.72	19.53	20.65	21.05	20.65	18.29	22.96
RXFP3	33.21	29.75	31.9	31.77	29.1	28.26	25.82	26.79	28.83	31.38	32.87	31.82	23.79	22.51	28.62	24.82	23.55	23.83	23.21	25.09	21.05	22.41	18.41	19.93	27.44	23.74	25.81	17.88	20.66	18.83	20.8	24.18	21.48	24.54	25.19	21.69	23.7	20.3	22.78	23.17	22.01	20.16	23.76
FPR3	29.89	29.3	30.15	31.99	34.31	33.71	24.34	23.62	28.73	26.74	30.04	28.15	25.38	20.38	23.6	23.11	24.32	25.77	23.86	21.98	21.67	19.63	21.4	21.57	27.37	18	24.91	19.92	21.18	22.07	18.75	19.61	20.32	20.7	22.44	22.44	23.51	20.31	25.81	25.81	21.77	22.98	22.3
FPR2	29.52	28.57	30.51	31.99	35.77	31.84	28.84	27.31	30.55	28.94	31.87	28.89	23.08	22.69	25.47	23.11	26.64	27.31	25.38	23.08	22.05	21.92	23.74	23.14	30.29	19.2	24.15	19.53	21.57	21.13	20.31	23.53	20.32	23.83	23.62	23.62	23.9	20.31	24.6	26.21	23.79	24.19	26.39
FPR1	30.15	29.45	32.12	32.97	32.6	33.58	27.99	26.37	29.86	28.52	31.77	26.64	22.35	21.21	24.16	23.95	25.38	24.9	23.02	20	23.48	23.08	22.52	22.78	30.94	19.22	24.25	18.99	18.99	20.56	20.16	22.87	19.69	23.26	24.22	24.22	24.02	21.4	25.5	26.69	24.3	24.4	26.1
CHEMR	29.85	29.52	32.22	31.23	37.41	29.17	29.17	27.51	29.2	32.73	33.21	31	23.57	23.57	26.97	22.43	25.19	24.71	30.92	24.18	20.69	23.85	22.78	23.35	29.3	19.76	26.49	20	20.39	20.28	21.57	21.96	23.81	24.61	22.13	22.13	23.9	24.02	28.23	26.61	26.61	26.72	22.88
OXGR	21.07	24.33	23.28	24.9	24.24	29.59	23.6	23.99	27.88	26.1	26.47	29.37	29.48	29.1	37.59	23.36	21.8	23.6	24.72	21.82	24.07	20	21.15	18.53	23.19	21.79	26.98	17.76	18.92	14.81	20	18.46	22.27	22.99	20.7	23.05	19.61	25.19	20	20.4	20.4	22.09	22.83
SUCR	24.81	26.87	25.84	24.81	25.86	26.12	23.97	22.88	26.3	24.54	26.64	28.78	24.07	31	37.46	23.74	21.93	21.11	25.75	19.78	25.18	20.44	18.32	21.76	26.52	21.01	25.18	15.21	17.87	15.91	19.47	21.07	22.18	24.43	21.01	21.4	25	20.38	21.91	24.3	22.31	21.6	26.07
GPER	27.84	29.04	26.98	26.74	24.9	27.82	24.62	25	26.67	26.59	29.74	29.81	23.92	23.74	26.15	22.22	22.66	22.57	22.22	20.22	18.18	24.31	17.58	21.18	24.09	23.17	21.97	17.97	17.32	16.2	20.08	23.35	22.13	20.54	21.62	21.62	22.8	21.57	23.2	25.2	23.6	23.69	23.05
ACKR1	13.33	12.29	9.44	11.73	18.24	13.53	12.28	12.79	15.52	15.73	15.82	12.07	13.56	15.91	14.29	10.92	12.92	12.85	10.87	16.13	16.22	12.73	12.36	11.86	16.48	13.79	11.3	12.36	15.82	12.99	13.07	16.95	14.94	12.99	15.08	10.06	10.86	11.3	11.05	11.05	12.71	10.5	13.97
KISSR	36.47	33.58	32.21	30.83	24.32	23.48	23.95	25.94	24.81	26.84	25.45	27.21	24.52	24.05	24.44	20.45	31.18	29.29	25.62	24.48	21.25	21.49	22.71	23.9	28.24	24.1	24.34	19.41	17.41	19.46	22.06	29.26	23.31	25.28	25.84	23.05	23.33	21.85	23.17	22.78	23.17	20.93	19.63
QRFPR	28.36	25.93	27.14	26.87	22.9	22.64	23.77	23.97	22.47	22.99	21.01	23.36	19.7	22.93	23.51	17.67	29.17	28.03	29.86	22.81	21.72	19.57	24.82	20.94	22.05	17.25	23.88	16.36	18.75	16.67	23.38	26.47	25	24.07	23.81	24	21.9	25	22.26	20.38	23.4	20.75	21.03
AGTR2	29.85	31.11	32.22	32.46	27.44	28.94	31	30.43	27.7	29.72	36.81	100	26.44	27.1	30.11	23.4	22.3	21.93	26.67	21.71	19.78	21.52	18.8	21.67	25.93	20.16	29.26	21.76	16.79	16.74	20.75	24.05	24.81	23.37	24.23	22.69	24.14	22.69	22.35	21.96	21.57	22.44	26.01
AGTR1	32.35	35.4	32.85	33.82	27.78	36.1	34.55	32.62	33.45	34.62	100	36.81	26.89	26.42	26.1	26.12	23.7	25.46	25.18	22.54	23.1	24	21.93	22.56	28.83	23.44	29.67	19.25	18.11	20.55	23.77	20.75	23.37	22.35	23.19	27.38	26.05	21.59	28.4	28.4	25.29	30.08	26.45
BKRB2	27.14	26.57	26.57	27.14	27.44	30.04	26.74	27.64	30.69	28.62	32.87	33.68	26.25	27.31	25.37	23.19	21.27	20.52	21.32	22.78	20.88	26.58	18.42	21.84	23.9	20.78	25.28	17.31	20.38	20.28	22.05	22.99	26.85	27.69	22.31	22.69	21.07	22.39	22.96	22.96	24.12	23.83	26.74
BKRB1	26.74	25.45	28	25.64	25.28	28.62	27.9	29.5	29.29	27.11	32.41	31.82	23.95	27.27	23.25	22.47	21.93	21.85	24.82	22.97	21.38	24.11	16.79	22.64	25.82	21.79	24.26	18.18	20.83	20.91	19.32	21.13	21.84	23.11	19.77	22.81	23.08	21.29	20.54	22.09	22.09	22.18	24
ACKR3	28.89	27.57	27.21	26.3	24.72	30.8	28.73	27.5	26.06	28.37	32.28	31.56	22.43	26.24	29.3	23.6	18.56	20.38	23.51	21.07	21.4	18.92	20.45	19.92	26.81	18.43	27.57	16.15	15	15.67	20.77	21.54	21.4	22.39	22.09	21.71	19.53	19.31	19.12	19.92	18.33	20.8	24
APJR	30	29.3	29.78	30.37	30.83	31.5	28.78	27.17	28.06	100	34.62	29.72	23.48	26.04	25.83	23.88	22.68	21.19	22.88	26.41	23.81	20.7	21.72	22.81	27.57	21.88	25.64	23.28	18.32	21.3	23.4	26.24	25.1	26.72	26.82	25.67	22.52	24.9	25.1	25.88	27.84	24.41	26.45
CCR9	27.04	27.68	25.18	26.3	26.67	35.74	36.59	39.15	100	28.06	33.45	27.7	25.57	26.24	27.68	21.72	23.75	21.76	24.06	22.14	25	20.09	18.73	18.8	26.18	22.78	25.45	15.12	19.84	19.27	23.74	23.35	23.32	23.26	23.26	21.71	20.16	20.23	22.4	23.2	22.8	24.1	24.46
CCR7	30.26	26.47	27.64	27.68	27.68	36.56	39.57	39.29	46.23	27.08	31.67	28.52	26.34	23.95	29.52	23.22	25.57	25.86	22.39	22.22	23.42	22.83	19.85	21.8	27.9	18.01	25.45	17.83	17.9	18.18	21.01	24.51	23.72	25.58	22.48	23.26	21.34	21.71	23.02	23.41	25	24.3	26.26
CCR6	27.68	29.78	27.27	28.78	26.2	35.87	37.09	36.07	39.8	26.26	34.16	28.78	27.1	25.86	30.63	24.63	22.9	23.19	20.6	19.22	23.51	23.53	20.22	21.05	26.81	20.85	26.45	17.05	21.01	16.89	20.62	24.9	22.53	22.87	22.09	23.26	20.16	21.01	21.2	21.2	22.8	23.29	26.52
ACKR4	27.17	28.79	27.14	29.81	28.14	34.8	33.46	32.85	38.81	27.94	31.64	33.09	24.71	22.61	26.59	21.76	20.54	22.39	23.66	20.65	23.4	21.1	16.6	16.23	25.28	20.55	27.04	15.95	15.23	16.59	23.83	24.22	23.51	21.18	21.4	21.01	20.32	21.48	21.37	20.97	20.16	20.24	26.1
CXCR6	28.63	30.3	27.44	27.76	25.57	34.59	36.47	36.16	37.46	28.57	34.94	26.32	23.44	26.85	28.19	27.06	24.7	25	22.18	23.13	24.51	19.81	19.47	18.39	24.24	17.39	27	17.39	18.25	15.71	24.21	23.81	20.56	21.74	23.32	23.32	21.77	19.84	21.72	22.13	20.08	22.22	28.09
CXCR2	32.46	29.74	30.88	32.09	31.34	37.55	36.59	35.36	38.06	34.91	34.05	29.82	29.89	27.76	27.68	25.09	26.34	25.86	21.59	24.1	26.22	21.66	22.73	23.77	28.21	27.91	27.27	18.82	19.29	18.06	26.38	29.92	24.6	27.84	26.67	26.67	24	22.35	24.6	25.81	25	23.48	27.9
CXCR1	33.71	29.48	30.37	30.34	29.48	38.41	35.87	34.41	39.64	33.09	32.97	29.78	29.46	27.69	26.67	23.22	27.86	27	23.48	23.55	26.59	20.83	23.92	23.83	27.41	28.51	29.26	18.9	20.95	20	24.8	29.64	26.29	28.74	27.17	25.59	23.29	23.14	24.29	25.51	26.32	23.89	24.72
CXCR3	29.21	25.37	28.21	26.97	27.72	38.35	35.27	34.4	33.21	33.46	33.33	29.04	26.74	28.96	27.41	21.8	24.14	23.28	21.29	20.43	25.94	22.22	20.78	18.36	27.04	25.3	24.07	17.72	16.21	19.53	23.32	29.25	24.3	28.35	23.44	20.7	22.49	22.44	22.67	26.32	26.72	24.39	26.57
CXCR5	26.47	26.37	27.34	27.21	25.83	36.27	32.86	30.56	34.39	30.11	30.85	25.09	24.52	23.19	25.91	23.33	23.4	24.44	21.56	22.03	23.9	21.17	22.9	20.69	24.45	24.11	25.91	16.09	19.23	17.65	24.62	26.54	23.14	25.77	25.1	24.71	24.22	22.31	24.51	24.51	27.27	24.21	24.19
CCR10	28.25	25.93	28.21	25.65	26.77	30.82	31.29	33.22	34.93	28.42	27.76	26.62	23.95	24.62	27.21	22.01	23.66	25.1	21.35	23.49	27.14	20.36	17.91	20.6	32.12	22.78	22.83	20.85	18.99	19.55	23.64	29.07	22.05	26.36	24.32	21.62	22.44	21.71	23.81	25	27.38	23.9	23.3
CCR3	28.57	31.09	27.57	29.32	28.57	32.75	55.91	56.79	36.92	30.07	33.33	30.43	25.58	26.92	25.19	28.84	22.52	23.19	26.32	23.4	22.76	20.18	17.37	22.01	28.36	20.16	27.41	19.38	16.73	16.67	19.07	21.4	20.87	22.96	21.15	20.38	23.72	20.62	21.69	22.49	21.29	22.18	27.57
CCR1	30.45	33.71	30.51	30.83	27.07	33.1	59.86	60.98	37.28	30.07	36.56	33.33	27.52	27.31	27.04	26.59	22.14	20.91	26.32	22.7	23.51	18.81	16.6	21.24	27.24	21.77	30.74	18.99	17.12	16.67	22.57	21.4	21.65	22.57	20.77	20.77	24.51	20.23	20.88	23.29	22.89	22.58	26.84
CCR5	26.97	27.99	26.01	26.59	22.85	32.75	79.72	100	39.15	27.17	32.62	30.43	22.01	23.37	25.83	26.59	19.77	20.45	26.59	22.26	22.3	20.09	19.62	20	26.77	20.88	27.31	18.92	18.22	16.97	20.16	17.83	21.96	21.32	21.84	22.99	22.83	20.93	21.51	22.31	22.71	22.4	25.64
CCR2	28.68	30.45	27.99	28.3	24.91	34.41	100	79.72	36.59	28.78	34.55	31	21.57	25.29	25.47	24.62	23.37	24.05	25.94	24	24.34	19.07	18.36	19.14	25.47	23.39	27.72	20	18.9	16.13	21.18	21.57	22.22	21.96	23.05	23.83	24	21.48	21.6	23.2	23.6	24	25.28
CCR4	27.55	27.44	26.57	28.68	25.38	39.08	52.33	53.5	38.85	31.75	38.27	31.02	29.3	25.19	28.73	24.91	25.38	24.52	24.53	20	22.18	22.69	18.29	19.84	26.22	22.67	31.34	17.58	17.25	15.74	22.35	23.53	21.83	24.31	20.93	21.32	23.51	19.61	20.88	22.49	22.49	21.77	27.41
CCR8	28.3	30.83	28.04	29.43	24.62	33.8	43.73	44.76	34.17	27.74	31.41	29.93	29.3	27.13	26.49	23.4	21.54	20.69	22.64	20	22.56	22.69	19.07	17.9	26.97	20.65	27.99	16.8	16.08	16.2	21.57	23.92	23.41	25.1	18.22	20.16	20.32	19.61	22.09	22.89	22.49	20.97	24.07
CX3C1	30.15	30.65	28.68	27.1	26.44	35.87	46.55	43.01	32.85	30	33.7	33.33	29.69	26.74	27.82	23.86	23.94	20	22.61	18.32	20.83	20.93	19.22	21.4	30.42	20.58	28.95	16.47	18.9	15.42	21.96	22.44	20.63	21.57	21.96	23.92	24.5	22.35	23.58	25.2	23.58	24.8	25.94
ACKR2	26.79	27.07	26.87	25.66	25.28	34.64	39.07	38.3	36.69	31.75	31.41	29.93	25.88	27.24	21.72	21.51	22.31	21.84	22.93	22.74	22.1	17.13	17.12	18.75	24.72	21.46	29.96	17.19	16.86	15.74	20.31	20	19.52	22.75	23.05	20.7	20.72	20.31	18.88	18.47	21.29	20.08	23.7
CCRL2	24.32	25	24.91	27.03	23.55	27.08	43.38	45.36	27.47	26.12	32.84	29.1	19.12	23.72	21.29	23.46	17.58	16.73	23.08	19.93	18.7	19.34	15.08	16.27	20.31	20.75	24.62	16.6	18.25	18.01	20.4	13.6	15.79	16	18.5	18.11	23.58	16.8	19.67	21.31	19.67	18.93	21.13
CXCR4	29.43	26.69	26.57	27.92	28.41	100	34.41	32.75	35.74	31.5	36.1	28.94	25.1	24.9	26.12	24.91	25.67	28.24	23.4	21.15	23.6	18.98	21.88	18.75	27.34	21.46	28.36	17.25	18.9	20.28	20.47	19.69	23.51	24.02	23.74	24.12	23.2	21.96	22.09	22.89	21.69	23.39	24.07
XCR1	25.38	26.64	27.44	25.38	25.58	31.77	34.93	33.94	27.78	28.95	31.48	29.32	26.19	25.2	27.59	25.97	22.83	21.96	25.1	24.35	19.62	22.07	22.62	19.76	26.05	23.24	26.05	19.84	19.92	15.49	19.92	25.5	19.76	22.71	23.62	21.65	24.39	17.06	22.86	24.08	23.67	22.13	27.48
NPBW2	37.94	39.93	40.89	39.22	26.59	29.67	28.52	26.55	26.45	29.56	29.71	29.41	25.48	29.43	31.44	25.1	27.38	25.76	24.91	23.59	23.99	21.68	24.44	20.75	25.91	22.35	26.49	18.94	18.32	18.83	23.37	29.01	26.07	26.62	25.66	24.53	28.29	26.62	26.36	28.29	27.52	25.68	23.9
NPBW1	37.72	35.82	37.59	35.46	27.82	26.47	24.91	27.01	25.45	28.94	29.82	30.26	24.33	29.06	27.76	24.05	24.43	23.95	22.76	23.32	21.11	22.67	20.75	19.25	26.01	21.26	24.34	20.53	16.48	17.57	21.15	25.29	21.79	23.19	25.76	22.35	25.29	24.43	24.9	26.07	26.46	25.39	21.4
UR2R	29.6	27.9	27.92	27.44	26.44	21.43	20.53	22.39	20.9	24.81	24.63	25.76	23.55	25.77	23.64	21.62	22.96	22.09	22.9	19.2	26.42	21.36	19.77	24.51	27.31	20.4	20.61	18.29	20.78	17.05	20.87	25.68	24.8	25.19	22.78	23.17	23.51	22.66	22.22	24.21	23.41	20.72	22.93
C5AR2	25.67	20.91	24.43	21.37	40.59	25.77	20.69	21.29	26.32	27.48	27.07	24.05	22.83	21.26	20.38	18.29	19.76	20.87	22.01	22.73	22.48	19.23	19.12	18.07	28.52	24.8	18.22	16.8	16.47	19.02	18.8	20.08	18.37	21.2	20.16	20.16	18.37	20.72	22.22	23.46	21.81	21.4	17.18
C5AR1	27.55	26.97	27.82	28.2	100	28.41	24.91	22.85	26.67	30.83	27.78	27.44	27.52	23.64	25	21.46	22.57	22.48	27.38	20.9	22.52	23.11	21.96	21.74	30.71	21.2	23.66	18.9	18.18	19.14	23.62	26.88	24.9	24.8	23.81	22.62	23.29	24.31	25.51	25.1	24.7	24.29	20.68
C3AR	31.58	32.34	34.08	32.58	40.29	29.92	26.04	24.91	25.74	32.84	30.37	26.97	21.71	25.19	25	24.14	25.39	27.24	25.19	27.31	20	23.83	20.08	22.22	35.69	23.69	23.66	18.97	20.24	21.15	24.51	26.59	23.79	24.11	25.5	25.9	25.4	21.74	25.31	26.12	28.16	26.12	25.56
MCH2	29.09	32.97	31.45	30.91	24.81	23.22	24.24	23.79	24.16	28.41	25.83	29.21	25.57	25.28	25.1	21.29	24.34	21.27	20.51	21.71	24.63	18.5	19.4	21.56	25.84	16.86	22.39	17.91	18.94	16.96	20.68	21.8	24.05	20.9	23.13	23.7	28.03	24.25	26.67	26.67	22.35	24.02	21.69
MCH1	31.62	28.83	31.25	29.04	25.48	26.85	24.9	27.8	24.71	25.84	27.07	27.1	22.01	20.85	23.85	23.35	22.61	23.66	24.81	24.91	22.56	20.18	21.46	24.62	28.68	19.29	20.31	18.01	21.32	17.13	22.69	24.23	24.9	27.2	26.07	23.94	26.36	25.19	29.6	28.4	28	26.51	20.3
GAL2	34.98	33.58	32.95	33.08	30.35	26.82	26.15	25.1	24.33	27.78	28.68	26.02	25.69	24.71	25.67	21.32	31.48	31.37	23.36	24.01	26.71	22.32	25.09	25.57	27.31	22.76	24.52	21.59	19.32	19.91	25.86	27.27	28.19	28.74	32.06	27.1	26.44	26.44	25.58	26.74	29.07	26.46	21.8
GAL1	34.73	34.47	32.7	32.06	26.44	27.07	24.53	25	26.49	25.83	27.74	29.15	21.65	23.14	27.55	21.32	31.48	31	29.93	25.09	22.74	22.97	25.56	29.5	29.55	20.08	27.2	23.19	20.91	18.89	22.43	27.65	26.25	24.14	29.77	27.1	26.05	24.23	23.35	22.57	24.12	25.39	24.53
SST5	43.01	38.32	42.49	41.03	30.15	31.82	29.17	29.7	28.95	33.21	32.09	34.09	29.18	26.36	30.04	23.74	31.42	30.92	28.14	24.81	26.24	28.44	26.17	25.68	31.6	23.2	27.69	19.14	21.48	19.63	26.67	34.9	32.41	33.85	29.53	28.35	29.08	29.41	29.2	29.2	29.6	28.11	24.14
SST3	42.81	39.29	40.86	38.71	30.8	30.3	27.27	28.57	28.09	31.97	33.21	34.08	32.95	28.9	31.06	23.28	28.68	28.57	26.97	24.26	27.51	24.66	25.57	26.24	31.85	21.43	27.17	19.85	21.46	18.43	26.92	30.38	27.13	27.86	28.57	27.03	27.73	26.92	28.35	30.71	27.56	26.88	23.31
SST2	39.15	39.93	41.13	42.2	31.58	32.45	29.06	28.09	26.67	29.52	31.87	30.86	26.82	25.57	29.17	25.67	30.53	31.18	28.09	23.72	24.16	27.23	24.71	23.85	27.11	19.69	28.03	19.54	21.15	16.97	24.71	25.38	29.41	29.62	30.62	29.07	26.56	26.54	25.78	24.22	25.39	24.31	22.39
SST4	43.84	43.17	46.74	42.03	29.92	33.21	30.42	30.68	28.95	30.83	33.46	31.32	25.97	27.41	28.35	24.42	28.96	28.08	24.91	24.91	27.17	24.55	27.31	22.96	27.72	21.03	26.44	19.77	20.23	18.52	26.17	31.13	28.17	28.4	29.8	27.45	27.84	26.36	29.64	30.83	28.85	27.38	23.4
SST1	43.88	43.37	46.04	42.81	30.8	32.57	28.24	29.17	28.57	30.71	32.71	30.57	26.36	27.41	30	24.9	28.29	26.64	27.27	24.44	24.53	22.52	24.23	22.18	27.88	21.12	28.46	18.6	19.84	18.52	25.39	27.24	28.97	28.4	28.63	29.02	29.8	27.13	28.06	29.25	26.48	28.17	23.48
MOR	59.57	70.21	71.73	100	28.2	27.92	28.3	26.59	26.3	30.37	33.82	32.46	25.19	24.71	28.52	26.44	29.12	30.92	26.22	26.28	26.12	21.43	23.19	24.14	26.1	19.76	27.65	18.7	17.69	16.44	27.8	28.46	27.45	26.44	23.55	26.64	29.3	26.44	28.12	28.52	23.83	24.71	25.37
DOR	59.72	68.79	100	71.73	27.82	26.57	27.99	26.01	25.18	29.78	32.85	32.22	25.86	24.91	27.65	22.81	28.63	29.66	28.36	24.47	25.65	20	21.97	25.1	27.74	21.65	25	20.23	18.46	18.92	26.25	29.23	25.49	26.44	23.95	26.62	28.52	26.44	27.34	28.52	24.22	25.49	22.51
KOR	61.21	100	68.79	70.21	26.97	26.69	30.45	27.99	27.68	29.3	35.4	31.11	25.29	28.63	28.3	26.34	30.04	28.79	25.75	26.18	29	20.09	23.19	25.77	27.74	18.82	27.17	19.16	18.46	17.43	27.41	26.54	25.49	24.62	24.03	26.36	29.69	27.31	28.91	29.69	25	25.1	24.91
NOP	100	61.21	59.72	59.57	27.55	29.43	28.68	26.97	27.04	30	32.35	29.85	26.82	26.72	26.62	24.14	29.89	29.77	26.97	25.18	28.73	20.89	22.14	24.23	27.94	22.22	24.62	21.07	17.76	21.36	26.74	30.12	25.98	25.38	25.58	25.19	25.78	25.29	26.67	27.06	23.14	23.23	22.85
GAL3	31.29	30.82	29.39	28.67	29.39	27.38	26.62	26.42	25.84	30.74	29.15	26.22	25.95	23.48	27.38	19.54	28.3	26.32	21.56	22.1	26.01	21.24	24.06	23.11	28.68	21.96	24.62	22.26	17.05	18.64	23.95	28.3	23.37	24.44	28.52	25.1	24.62	23.19	24.12	26.07	28.4	23.83	20.82
GPR176	20.26	17.24	20.17	18.1	15.62	18.06	15.86	17.11	21.49	17.02	15.81	18.45	17.11	17.39	17.47	17.47	22.22	22.22	19.83	18.41	19.75	19.56	18.99	20.69	19.11	15.91	14.29	18.38	20.51	16.2	19.15	20.69	19.56	20.96	23.81	19.05	16.81	18.45	17.99	19.25	20.5	18.83	16.67
GPR37L1	19.17	20.75	19.28	18.26	16.31	15.83	16.46	16.46	17.08	20.82	17.62	17.01	16.46	13.33	13.56	16.67	18.57	16.81	18.37	25	19.11	15.62	16.39	18.67	22.36	13.1	12.92	17.08	14.64	15.21	20.5	19.25	18.45	16.46	18.85	13.93	15.48	17.5	16.67	16.67	14.23	15.92	12.7
GPR37	20	21.16	20.08	20.75	17.17	20	17.72	18.11	17.92	18.78	20.9	20.33	15.13	16.18	16.53	20.09	18.49	18.83	20.33	24.22	17	16.89	16.33	18.52	19.41	13.04	17.08	15.83	15.06	18.43	18.33	17.57	18.45	16.88	17.48	17.89	15	17.43	14.57	15.38	14.98	17.07	15.16
GPR162	14.88	14.02	15.07	13.49	15.05	14.69	14.76	14.55	13.18	14.49	14.42	19.34	14.69	14.88	14.42	13.46	17.7	17.62	19.82	15.62	14.93	16.43	15.86	16.14	17.79	18.1	14.75	15.67	14.49	11.56	13.62	15.96	16.43	15.64	16.2	16.67	15.49	17.76	13.51	15.77	14.41	14.93	14.93
GPR153	15.42	14.08	13.82	11.68	14.15	12.44	14.83	14.69	14.61	15.02	14.95	19.43	17.14	16.36	14.49	13.04	16.83	15.79	16.2	16.22	16.36	17.39	16.37	15.32	16.91	16.75	14.81	15.74	13.15	14.93	16.51	18.87	14.56	14.29	16.36	16.36	15.09	15.49	12.22	14.93	12.67	10.91	15.91
GPR82	21.72	22.13	22.53	22.13	20.68	21.95	18.93	20.08	19.51	17.93	19.6	17.41	19.92	19.42	21.81	22.73	22.54	23.67	20.63	17.11	18.75	18.75	18.55	17.21	22.04	14.29	18.15	17.21	17.7	15.91	20.16	15.92	20.59	20.99	19.35	20.16	18.93	19.26	19.52	17.93	19.52	17.6	18.33
GPR146	15.07	15	14.93	14.16	15.94	16.9	15.09	18.14	17.51	14.16	15.25	18.83	14.02	17.13	16.28	13.15	13.7	13.7	15.84	13.16	15.42	15.79	12.27	12.84	17.43	15.27	10.5	15.35	14.42	12.06	16.13	14.62	16.5	16.11	16.36	15.42	17.89	16.2	15.53	17.81	18.72	18.35	11.16
GPR22	20	18.67	19.47	18.75	19.72	19.18	18.43	19.55	15.84	18.34	19.47	17.78	16.06	18.64	16.44	20.18	21.62	21.62	20.98	18.18	18.1	18.3	19.64	19.37	20.81	15.46	16.59	14.55	17.27	16.19	18.47	17.51	19.91	15.74	20.18	17.43	21.62	18.1	19.47	19.47	19.03	18.22	20.61
GPR173	18.45	17.87	17.48	18.45	18.81	18.59	17.09	16.26	19.02	16.43	18.27	18.75	14.71	13.73	17.16	12.75	19.71	16.83	19.52	20.28	16.06	18.63	22.01	18.63	18.32	15.5	15.53	17.14	14.9	14.87	20.67	21.95	21.5	18.32	20.49	19.02	21.26	19.9	20.93	21.86	21.4	20	11.43
